BSE.Code,Name
534804,CARE Ratings Ltd
533260,Career Point Ltd
530609,Carnation Industries Ltd
532282,Castex Technologies Ltd
500870,Castrol India Ltd
531682,Cat Technologies Ltd
531158,Catvision Ltd
531900,CCL International Ltd
519600,CCL Products (India) Ltd
500878,CEAT Ltd
530789,Ceejay Finance Ltd
514171,Ceeta Industries Ltd
532695,Celebrity Fashions Ltd
532871,Celestial Biolabs Ltd
522251,Cenlub Industries Ltd
531380,Centenial Surgical Suture Ltd
531621,Centerac Technologies Ltd
532885,Central Bank of India
501827,Central Provinces Railways Company Ltd
501150,Centrum Capital Ltd
517544,Centum Electronics Ltd
500280,Century Enka Ltd
500083,Century Extrusions Ltd
532548,Century Plyboards (India) Ltd
500040,Century Textiles & Industries Ltd
532443,Cera Sanitaryware Ltd
532413,Cerebra Integrated Technologies Ltd
500084,CESC Ltd
500093,CG Power & Industrial Solutions Ltd
531489,CG-VAK Software & Exports Ltd
530307,Chamanlal Setia Exports Ltd
512301,Chambal Breweries & Distilleries Ltd
500085,Chambal Fertilisers & Chemicals Ltd
530309,Chandra Prabhu International Ltd
531327,Charms Industries Ltd
511696,Chartered Capital & Investment Ltd
531977,Chartered Logistics Ltd
526917,CHD Developers Ltd
530871,Chembond Chemicals Ltd
506365,Chemo Pharma Laboratories Ltd
539011,Chennai Ferrous Industries Ltd
500110,Chennai Petroleum Corporation Ltd
526817,Cheviot Company Ltd
521244,Chitradurga Spintex Ltd
532992,CHL Ltd
531358,Choice International Ltd
511742,Chokhani Securities Ltd
530427,Choksi Imaging Ltd
526546,Choksi Laboratories Ltd
511243,Cholamandalam Investment & Finance Company Ltd
519475,Chordia Food Products Ltd
501833,Chowgule Steamships Ltd
539335,Chpl Industries Ltd
530191,Chromatic India Ltd
534758,Cigniti Technologies Ltd
533407,CIL Nova Petrochemicals Ltd
530829,Cil Securities Ltd
505230,Cimmco Ltd
531283,Cindrella Financial Services Ltd
526373,Cindrella Hotels Ltd
532807,Cineline India Ltd
530457,Cinerad Communications Ltd
532324,Cinevista Ltd
500087,Cipla Ltd
502445,Citadel Realty & Developers Ltd
531235,CitiPort Financial Services Ltd
538786,Citizen Infoline Ltd
514366,Citizen Yarns Ltd
538674,City Online Services Ltd
532210,City Union Bank Ltd
521210,Cityman Ltd
540403,CL Educate Ltd
506390,Clariant Chemicals (India) Ltd
533288,Claris Lifesciences Ltd
540310,Classic Filament Ltd
538433,Classic Global Finance & Capital Ltd
530839,CLIO Infotech Ltd
500147,CMI FPE Ltd
517330,CMI Ltd
512018,CNI Research Ltd
533278,Coal India Ltd
501831,Coastal Corporation Ltd
508571,Cochin Malabar Estates & Industries Ltd
513353,Cochin Minerals & Rutile Ltd
540678,Cochin Shipyard Ltd
539436,Coffee Day Enterprises Ltd
500830,Colgate-Palmolive (India) Ltd
531210,Colinz Laboratories Ltd
524752,Combat Drugs Ltd
534691,Comfort Commotrade Ltd
535267,Comfort Fincap Ltd
531216,Comfort Intech Ltd
533272,Commercial Engineers & Body Builders Company Ltd
532342,Commex Technology Ltd
531041,Competent Automobiles Ltd
532456,Compuage Infocom Ltd
532339,Compucom Software Ltd
507833,Computer Point Ltd
522231,Conart Engineers Ltd
538965,Concord Drugs Ltd
504340,Confidence Finance & Trading Ltd
526829,Confidence Petroleum India Ltd
532902,Consolidated Construction Consortium Ltd
531344,Container Corporation Of India Ltd
540597,Containerway International Ltd
531067,Contil India Ltd
531460,Continental Controls Ltd
523232,Continental Petroleums Ltd
522295,Control Print Ltd
531556,Coral India Finance & Housing Ltd
524506,Coral Laboratories Ltd
532941,Cords Cable Industries Ltd
506395,Coromandel International Ltd
540199,Corporate Merchant Bankers Ltd
532179,Corporation Bank
530859,Cosboard Industries Ltd
530545,COSCO (India) Ltd
508814,Cosmo Films Ltd
538922,COSYN Ltd
526550,Country Club Hospitality & Holidays Ltd
531624,Country Condo's Ltd
523415,Coventry Coil-O-Matic (Haryana) Ltd
534920,Covidh Technologies Ltd
533144,Cox & Kings Ltd
538770,Crane Infrastructure Ltd
512093,Cranes Software International Ltd
522001,Cranex Ltd
509472,Cravatex Ltd
539527,Creative Castings Ltd
532392,Creative Eye Ltd
539131,Crescent Leasing Ltd
512379,Cressanda Solutions Ltd
511413,Crest Ventures Ltd
526269,Crestchem Ltd
500092,CRISIL Ltd
539876,Crompton Greaves Consumer Electrical Ltd
538521,Crown Tours Ltd
530067,CSL Finance Ltd
526027,Cubex Tubings Ltd
511710,Cubical Financial Services Ltd
500480,Cummins India Ltd
530843,Cupid Ltd
532332,Cura Technologies Ltd
531472,Cybele Industries Ltd
532640,Cyber Media (India) Ltd
532173,Cybertech Systems & Software Ltd
532175,Cyient Ltd
517514,D & H India Ltd
533151,D B Corp Ltd
533160,D B Realty Ltd
523890,D S Kulkarni Developers Ltd
500096,Dabur India Ltd
530825,Daikaffil Chemicals India Ltd
501148,Dalal Street Investments Ltd
533309,Dalmia Bharat Ltd
500097,Dalmia Bharat Sugar & Industries Ltd
521220,Damodar Industries Ltd
532329,Danlaw Technologies India Ltd
539770,Darjeeling Ropeway Company Ltd
532528,Datamatics Global Services Ltd
526443,Datasoft Applications Software (India) Ltd
530171,Daulat Securities Ltd
532772,DCB Bank Ltd
511611,DCM Financial Services Ltd
502820,DCM Ltd
523367,DCM Shriram Ltd
500117,DCW Ltd
590031,DE Nora India Ltd
505703,Deccan Bearings Ltd
502137,Deccan Cements Ltd
512068,Deccan Gold Mines Ltd
531989,Deccan Polypacks Ltd
539405,Decorous Investment And Trading Co Ltd
539559,Deep Diamond India Ltd
532760,Deep Industries Ltd
500645,Deepak Fertilizers & Petrochemicals Corp Ltd
506401,Deepak Nitrite Ltd
539455,Deepti Alloy Steel Ltd
532848,Delta Corp Ltd
539596,Delta Industrial Resources Ltd
535486,Delta Leasing & Finance Ltd
504286,Delta Magnets Ltd
504240,Delton Cables Ltd
533137,Den Networks Ltd
532121,Dena Bank
537536,Denis Chem Lab Ltd
531585,Devine Impex Ltd
511072,Dewan Housing Finance Corporation Ltd
519588,DFM Foods Ltd
538715,Dhabriya Polywood Ltd
500119,Dhampur Sugar Mills Ltd
531923,Dhampure Speciality Sugars Ltd
531198,Dhanada Corporation Ltd
521216,Dhanalaxmi Roto Spinners Ltd
532180,Dhanlaxmi Bank Ltd
521151,Dhanlaxmi Fabrics Ltd
503637,Dhanleela Investments & Trading Company Ltd
507717,Dhanuka Agritech Ltd
531043,Dhanvantri Jeevan Rekha Ltd
540268,Dhanvarsha Finvest Ltd
506405,Dharamsi Morarji Chemicals Co Ltd
511451,Dharani Finance Ltd
507442,Dharani Sugars & Chemicals Ltd
501945,Dhenu Buildcon Infra Ltd
526971,Dhoot Industrial Finance Ltd
531306,DHP India Ltd
507886,Dhruv Estates Ltd
533336,Dhunseri Investments Ltd
523736,Dhunseri Petrochem Ltd
538902,Dhunseri Tea & Industries Ltd
508860,Diamant Infrastructure Ltd
500120,Diamines & Chemicals  Ltd
530801,Diamond Infosystems Ltd
522163,Diamond Power Infrastructure Ltd
530959,Diana Tea Company Ltd
500089,DIC India Ltd
539979,Digjam Ltd
506414,DIL Ltd
531153,Diligent Industries Ltd
540047,Dilip Buildcon Ltd
526927,Dion Global Solutions Ltd
532839,Dish TV India Ltd
531553,Disha Resources Ltd
538432,Divinus Fabrics Ltd
532488,Divi's Laboratories Ltd
526285,Divya Jyoti Industries Ltd
526315,Divyashakti Granites Ltd
540699,Dixon Technologies (India) Ltd
532868,DLF Ltd
533146,D-Link India Ltd
531367,Dollex Industries Ltd
526504,Dolphin Medical Services Ltd
522261,Dolphin Offshore Enterprises (India) Ltd
512519,Donear Industries Ltd
533176,DQ Entertainment International Ltd
526783,Dr Agarwal's Eye Hospital Ltd
539524,Dr Lal Pathlabs Ltd
500124,Dr Reddy's Laboratories Ltd
523618,Dredging Corporation of India Ltd
534674,Ducon Infratechnologies Ltd
531471,Duke Offshore Ltd
504908,Duncan Engineering Ltd
539786,Dune Mercantile Ltd
526355,Duropack Ltd
517437,Dutron Polymers Ltd
532610,Dwarikesh Sugar Industries Ltd
540361,Dwekam Industries Ltd
532365,Dynacons Systems & Solutions Ltd
505242,Dynamatic Technologies Ltd
524818,Dynamic Industries Ltd
530779,Dynamic Portfolio Management & Services Ltd
532707,Dynemic Products Ltd
531533,E.Com Infotech (India) Ltd
590080,Eastern Gases Ltd
590022,Eastern Silk Industries Ltd
531346,Eastern Treads Ltd
532751,Easun Reyrolle Ltd
532927,eClerx Services Ltd
530643,Eco Recycling Ltd
523732,Ecoboard Industries Ltd
538708,Econo Trade India Ltd
526703,Ecoplast Ltd
540063,ECS Biztech Ltd
532922,Edelweiss Financial Services Ltd
532696,Educomp Solutions Ltd
526483,Eduexel Infotainment Ltd
535694,eDynamics Solutions Ltd
505200,Eicher Motors Ltd
500125,EID Parry (India) Ltd
523127,EIH Associated Hotels Ltd
500840,EIH Ltd
523708,Eimco Elecon (India) Ltd
530581,Ekam Leasing And Finance Co Ltd
532820,E-Land Apparel Ltd
513452,Elango Industries Ltd
500123,Elantas Beck India Ltd
523329,Eldeco Housing & Industries Ltd
505700,Elecon Engineering Company Ltd
500128,Electrosteel Castings Ltd
533264,Electrosteel Steels Ltd
526608,Electrotherm (India) Ltd
526705,Elegant Marbles and Grani Industries Ltd
522074,Elgi Equipments Ltd
517477,Elnet Technologies Ltd
504000,Elpro International Ltd
522027,EMA India Ltd
533218,Emami Infrastructure Ltd
531162,Emami Ltd
533208,Emami Paper Mills Ltd
504008,EMCO Ltd
524588,Emed.com Technologies Ltd
538882,Emerald Leasing Finance And Investment Co Ltd
507265,Emerald Leisures Ltd
506180,Emergent Energy & Services Ltd
532737,Emkay Global Financial Services Ltd
533161,Emmbi Industries Ltd
524768,Emmessar Biotech & Nutrition Ltd
532038,Emmsons International Ltd
532920,Empee Distilleries Ltd
500132,Empee Sugars & Chemicals Ltd
509525,Empire Industries Ltd
512441,Enbee Trade & Finance Ltd
540153,Endurance Technologies Ltd
532219,Energy Development Company Ltd
532178,Engineers India Ltd
533477,Enkei Wheels India Ltd
512369,Ennore Coke Ltd
512135,Ensa Steel Industries Ltd
526574,Enterprise International Ltd
532700,Entertainment Network (India) Ltd
532658,Eon Electric Ltd
523754,EPC Industrie Ltd
531155,Epsom Properties Ltd
539844,Equitas Holdings Ltd
540596,ERIS Lifesciences Ltd
533261,Eros International Media Ltd
531502,Esaar (India) Ltd
500133,Esab India Ltd
500495,Escorts Ltd
531259,Esha Media Research Ltd
532787,Ess Dee Aluminium Ltd
533149,Essar Securities Ltd
533704,Essar Shipping Ltd
500135,Essel Propack Ltd
500136,Ester Industries Ltd
537707,ETT Ltd
532823,Euro Ceramics Ltd
526468,Euro Leder Fashion Ltd
533109,Euro Multivision Ltd
521014,Eurotex Industries and Exports Ltd
531508,Eveready Industries India Ltd
508906,Everest Industries Ltd
532684,Everest Kanto Cylinder Ltd
524790,Everest Organics Ltd
526735,Excel Castronics Ltd
532511,Excel Crop Care Ltd
500650,Excel Industries Ltd
533090,Excel Realty N Infra Ltd
500086,Exide Industries Ltd
530571,Explicit Finance Ltd
526614,Expo Gas Containers Ltd
532656,Facor Alloys Ltd
530117,Fairchem Speciality Ltd
514474,Fairdeal Filaments Ltd
531599,FDC Ltd
500139,Fedders Electric & Engineering Ltd
500469,Federal Bank Ltd
505744,Federal-Mogul Goetze (India) Ltd
526689,Fenoplast Ltd
590024,Fertilizers & Chemicals Travancore Ltd
533896,Fervent Synergies Ltd
507910,Fiberweb (India) Ltd
532768,Fiem Industries Ltd
532022,Filatex Fashions Ltd
526227,Filatex India Ltd
531191,Filtron Engineers Ltd
517264,Fine Line Circuits Ltd
533333,Fineotex Chemical Ltd
500144,Finolex Cables Ltd
500940,Finolex Industries Ltd
511122,First Custodian Fund(I) Ltd
532379,Firstobject Technologies Ltd
532809,Firstsource Solutions Ltd
524743,Fischer Chemic Ltd
536751,Five X Tradecom Ltd
523672,Flex Foods Ltd
533638,Flexituff International Ltd
540267,Flora Corporation Ltd
532518,Florence Investech Ltd
522017,Fluidomat Ltd
503831,Fomento Resorts & Hotels Ltd
507552,Foods & Inns Ltd
502865,Forbes & Company Ltd
500033,Force Motors Ltd
532843,Fortis Healthcare Ltd
523696,Fortis Malar Hospitals Ltd
530023,Fortune Financial Services (India) Ltd
500150,Foseco India Ltd
513579,Foundry Fuel Products Ltd
532403,Fourth Generation Information Systems Ltd
540190,Franklin Industries Ltd
539730,Fredun Pharmaceuticals Ltd
530077,Freshtrop Fruits Ltd
522195,Frontier Springs Ltd
532042,Frontline Corporation Ltd
